Dropbacks,Completions,ATTs,Passing Yards,Passing TDs,INTs,Sacks,Sack Yards,Carries,Rush Yards,Rush TDs
30.62,19.54,29.15,253.08,2.23,0.23,1.46,9.77,8.54,52.15,0.23
39.67,25.17,37.17,278.08,2.5,0.42,2.5,13.75,2.75,13.33,0.08
27.92,17.33,25.33,207.83,1.17,0.42,2.58,18.83,10.33,40.42,1
32.42,20.83,30,234.42,1.25,0.5,2.42,12.42,8.75,45,0.5
30.75,19.17,29.67,224.25,1.67,0.42,1.08,5.08,5.83,27.83,0.5
36.25,24,33.92,252.83,2.08,0.92,2.33,14.5,3.58,19.08,0.25
40.83,23.33,38.17,291.17,1.83,1.17,2.67,12.83,2.33,9.17,0.17
29.33,17.67,26.67,184.33,0.83,0.17,2.67,20.67,9.17,38.5,0.83
37,25.88,34.75,265.62,1.88,0.5,2.25,16.25,1.75,5.88,0
34.85,21.31,33.38,218.62,1.31,0.62,1.46,12.15,5.15,23.38,0.31
31.8,19.4,30.8,251.8,2,1.1,1,7.5,1.8,4.8,0.1
34.17,20.5,31.17,271,1.67,0.5,3,16,3.33,4.5,0.17
32.83,20.17,29.83,246,1.92,0.83,3,19.33,4.33,15.58,0.08
31.45,19.36,29.45,246.09,1.18,0.73,2,9.64,4.82,24.64,0.36
31.58,20.5,29.83,216.92,1.08,0.5,1.75,11,4.58,35.67,0.33
38.25,24.33,35.58,248.25,1.58,0.92,2.67,18.5,3.83,19.25,0.08
30.17,20.33,28.33,248.5,1.83,0.75,1.83,14.33,2.08,3.33,0
39.67,25,36.33,270.08,1.08,1,3.33,22.67,3.75,18.83,0.17
38.33,21.08,34.25,217.67,1.17,0.42,4.08,27.58,4.92,31.5,0
14,9.67,12.67,126.67,1,0,1.33,4,5.33,45.67,0.33
28.33,18.78,27.56,214,1.56,0.44,0.78,4.33,1.67,6.56,0.11
30.67,17.75,28,212.58,1.08,0.08,2.67,14.08,4.17,17.67,0.17
31.22,19.11,28.44,188.44,1.22,0.89,2.78,19.44,4.22,38.33,0.11
30.2,17.2,28.4,204.5,1.1,0.7,1.8,14,2.6,11.9,0.3
38.38,23.12,35.75,247.25,1.38,1,2.62,14,1.62,6.75,0.12
25.11,11.33,23.89,167.89,0.78,1,1.22,10.67,7.78,42.56,0.44
37.25,21.83,34.92,218.92,1.58,0.67,2.33,17.92,1.25,4.67,0
36.42,22.5,34.08,248.58,1.42,0.58,2.33,17.75,1.42,0.92,0
36.23,20.92,33.08,239.77,1.15,0.69,3.15,25.15,3.31,15.31,0
36.6,22.6,34,233.4,1.8,1,2.6,20.2,1.6,5,0
37,21.6,34.1,207,0.8,0.7,2.9,17.2,6.7,26.5,0.2
35.25,22.42,33.25,254.33,1.42,1.08,2,14.67,1.67,0,0
33.5,19,32,201.5,1,1,1.5,9.5,3.25,15.25,0.25
33.2,21.2,31.8,197.8,1.4,1.2,1.4,7.4,2.2,6.8,0
30.78,17.11,26.67,184.33,1.33,1,4.11,21.78,4.22,19.11,0
30.75,17.12,29,173.12,0.75,0.75,1.75,11,2.62,13.5,0.25
35.57,19.57,30.86,164,0.71,0.43,4.71,27.29,4.43,21.14,0.14