Year,Full,Assoc,Assist
1999,118499,84106,68568
2000,120336,86407,68848
2001,122185,87549,71245
2002,124735,91073,71825
2003,127046,94992,77614
2004,135909,105093,84680
2005,136786,102906,80994
2006,137335,102225,76298
2007,139887,106370,83860
2008,134947,102144,75018
2009,135710,98884,71980
2010,132801,97786,72093
2011,133124,99182,77205
2012,135365,100768,78223
2013,138431,102212,81659
2014,140476,103745,80132
2015,140171,106356,82091
2016,139827,108464,78910
2017,137674,104273,79025
2018,137488,101035,75826
2019,137673,102242,84021
2020,134729,98243,79877